Time Bucket (America/New_York),30 Bellevue_1 (kWatts),30 Bellevue_2 (kWatts),Tesla Charger (kWatts),Heat Pump Attic (kWatts),Heat Pump Basement (kWatts),Oven (kWatts)
10/01/2022 00:00:00,0.3773,0.6266,0.0000,0.0055,0.0037,0.0053
10/01/2022 00:15:00,0.6800,0.7231,0.0000,0.5532,0.0009,0.0055
10/01/2022 00:30:00,0.4221,0.6144,0.0000,0.0748,0.0006,0.0061
10/01/2022 00:45:00,0.3780,0.3785,0.0000,0.0045,0.0009,0.0045
10/01/2022 01:00:00,0.3758,0.3473,0.0000,0.0044,0.0008,0.0040
10/01/2022 01:15:00,0.8860,0.9230,0.0000,0.9459,0.0010,0.0058
10/01/2022 01:30:00,0.7339,0.7598,0.0000,0.6313,0.0009,0.0053
10/01/2022 01:45:00,0.3876,0.4083,0.0000,0.0168,0.0006,0.0040
10/01/2022 02:00:00,1.5450,1.7525,0.0000,2.1685,0.0017,0.0096
10/01/2022 02:15:00,1.8165,1.8604,0.0000,2.6803,0.0287,0.0086
10/01/2022 02:30:00,1.6014,1.7099,0.0000,2.1282,0.0346,0.0087
10/01/2022 02:45:00,8.8405,8.9788,16.2692,0.0051,0.0360,0.0220
10/01/2022 03:00:00,9.2598,9.3838,16.6416,0.0047,0.0084,0.0226
10/01/2022 03:15:00,9.2650,9.6747,16.3437,0.0059,0.0080,0.0237
10/01/2022 03:30:00,5.6672,5.7404,9.6434,0.0037,0.0042,0.0150
10/01/2022 03:45:00,0.3826,0.4043,0.0000,0.0037,0.0005,0.0042
10/01/2022 04:00:00,0.3835,0.3737,0.0000,0.0039,0.0006,0.0039
10/01/2022 04:15:00,0.3811,0.3148,0.0000,0.0032,0.0006,0.0032
10/01/2022 04:30:00,1.5992,1.6308,0.0000,2.2671,0.0014,0.0080
10/01/2022 04:45:00,1.5096,1.5120,0.0000,2.0807,0.0014,0.0075
10/01/2022 05:00:00,1.2397,1.3142,0.0000,1.5409,0.0163,0.0072
10/01/2022 05:15:00,0.3891,0.4499,0.0000,0.0039,0.0336,0.0041
10/01/2022 05:30:00,0.5100,1.3095,0.0002,0.2012,0.0339,0.0113
10/01/2022 05:45:00,0.6587,1.6920,0.0003,0.5066,0.0126,0.0124
10/01/2022 06:00:00,0.3815,1.4786,0.0001,0.0090,0.0014,0.0112
10/01/2022 06:15:00,0.3849,0.7424,0.0002,0.0052,0.0007,0.0068
10/01/2022 06:30:00,0.3805,0.9915,0.0002,0.0068,0.0007,0.0081
10/01/2022 06:45:00,0.4684,0.8958,0.0002,0.0055,0.0008,0.0071
10/01/2022 07:00:00,2.6024,2.5863,0.0000,2.7310,0.0047,0.0099
10/01/2022 07:15:00,2.4219,2.1521,0.0000,2.1566,0.0045,0.0077
10/01/2022 07:30:00,1.9932,1.3170,0.0000,1.1813,0.0034,0.0046
10/01/2022 07:45:00,1.3257,0.9327,0.0000,0.0054,0.0028,0.0050
10/01/2022 08:00:00,1.3733,0.8731,0.0000,0.0049,0.0031,0.0043
10/01/2022 08:15:00,1.3043,0.7225,0.0000,0.0036,0.0024,0.0025
10/01/2022 08:30:00,1.1718,0.5226,0.0000,0.0026,0.0068,0.0011
10/01/2022 08:45:00,1.6167,0.6100,0.0000,0.0023,0.0336,0.0002
10/01/2022 09:00:00,1.6540,0.5244,0.0000,0.0020,0.0335,0.0002
10/01/2022 09:15:00,1.5411,0.5113,0.0000,0.0027,0.0150,0.0001
10/01/2022 09:30:00,1.9524,0.5857,0.0000,0.0019,0.0045,0.0005
10/01/2022 09:45:00,1.1749,0.6721,0.0000,0.0023,0.0014,0.0018
10/01/2022 10:00:00,0.8730,0.5117,0.0000,0.0029,0.0014,0.0019
10/01/2022 10:15:00,0.8341,0.3498,0.0000,0.0025,0.0015,0.0018
10/01/2022 10:30:00,0.8157,0.3513,0.0000,0.0025,0.0013,0.0019
10/01/2022 10:45:00,0.9806,0.4578,0.0000,0.0022,0.0011,0.0023
10/01/2022 11:00:00,0.7746,0.3559,0.0000,0.0025,0.0011,0.0018
10/01/2022 11:15:00,1.3279,0.4256,0.0000,0.0026,0.0026,0.0016
10/01/2022 11:30:00,2.2676,1.5934,0.0000,1.8245,0.0041,0.0058
10/01/2022 11:45:00,2.2979,1.7840,0.0000,2.0326,0.0057,0.0062
10/01/2022 12:00:00,1.1662,1.0672,0.0000,0.6386,0.0027,0.0055
10/01/2022 12:15:00,0.6300,0.3974,0.0000,0.0032,0.0006,0.0027
10/01/2022 12:30:00,0.7743,0.6462,0.0000,0.0042,0.0009,0.0040
10/01/2022 12:45:00,0.6328,0.4511,0.0000,0.0032,0.0005,0.0031
10/01/2022 13:00:00,0.5188,0.5112,0.0000,0.0036,0.0007,0.0038
10/01/2022 13:15:00,0.6889,0.4078,0.0000,0.0027,0.0005,0.0023
10/01/2022 13:30:00,0.3971,0.4415,0.0000,0.0044,0.0007,0.0037
10/01/2022 13:45:00,0.4378,0.3308,0.0000,0.0033,0.0006,0.0032
10/01/2022 14:00:00,0.7896,0.4219,0.0000,0.0035,0.0012,0.0022
10/01/2022 14:15:00,0.6853,0.3694,0.0000,0.0048,0.0021,0.0015
10/01/2022 14:30:00,0.6951,0.3572,0.0000,0.0047,0.0013,0.0014
10/01/2022 14:45:00,0.5225,0.6007,0.0000,0.0045,0.0009,0.0046
10/01/2022 15:00:00,0.4474,0.4501,0.0000,0.0037,0.0006,0.0043
10/01/2022 15:15:00,0.5912,0.5170,0.0000,0.0030,0.0005,0.0037
10/01/2022 15:30:00,0.4428,0.6584,0.0000,0.0038,0.0007,0.0055
10/01/2022 15:45:00,0.4422,0.5411,0.0000,0.0039,0.0005,0.0044
10/01/2022 16:00:00,0.4399,0.5340,0.0000,0.0041,0.0005,0.0045
10/01/2022 16:15:00,0.4437,0.5921,0.0000,0.0037,0.0007,0.0046
10/01/2022 16:30:00,1.4899,0.5978,0.0061,0.0022,0.0007,0.0027
10/01/2022 16:45:00,2.1987,1.2588,0.0000,0.0013,1.4495,0.0028
10/01/2022 17:00:00,1.3685,1.1482,0.0000,0.0024,1.4428,0.0030
10/01/2022 17:15:00,1.3793,1.0535,0.0000,0.0020,1.3397,0.0024
10/01/2022 17:30:00,1.4263,1.3031,0.0000,0.0025,1.5575,0.0038
10/01/2022 17:45:00,0.9225,0.9661,0.0000,0.0030,0.6139,0.0046
10/01/2022 18:00:00,1.3291,2.2264,0.0002,0.0081,1.2510,0.0114
10/01/2022 18:15:00,1.1096,1.7757,0.0002,0.0065,0.8706,0.0107
